,Emotions,Path
43,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-08-02-04-11-02-03-01.wav
44,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-05-02-01-11-02-03-01.wav
45,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-02-01-02-11-02-03-01.wav
46,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-08-02-05-11-02-03-01.wav
47,happy,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-03-02-06-11-02-03-01.wav
48,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-05-01-05-11-02-03-01.wav
49,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-08-01-08-11-02-03-01.wav
50,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-05-02-02-11-02-03-01.wav
51,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-08-02-07-11-02-03-01.wav
52,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-02-01-09-11-02-03-01.wav
53,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-05-01-03-11-02-03-01.wav
54,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-08-01-01-11-02-03-01.wav
55,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-02-01-01-11-02-03-01.wav
56,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-05-02-03-11-02-03-01.wav
57,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_11/03-01-05-01-04-11-02-03-01.wav
58,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_27/03-01-04-01-03-27-02-02-02-77.wav
59,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_27/03-01-04-01-08-27-02-02-02-03.wav
60,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_27/03-01-04-01-03-27-02-02-02-03.wav
61,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_27/03-01-04-01-03-27-02-02-02-02.wav
62,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_27/03-01-04-01-07-27-02-02-02.wav
63,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_27/03-01-04-01-03-27-02-02-02-02-77.wav
64,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_27/03-01-04-01-02-27-02-02-02.wav
65,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_27/03-01-04-01-03-27-02-02-02-03-77.wav
66,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_27/03-01-04-01-07-27-02-02-02-03.wav
67,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_27/03-01-04-01-07-27-02-02-02-02.wav
68,fearful,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_27/03-01-06-02-20-27-02-02-02.wav
69,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-13-18-02-03-01.wav
70,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-01-08-18-02-03-01.wav
71,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-05-18-02-03-01.wav
72,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-04-01-01-18-02-03-01.wav
73,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-02-18-02-03-01.wav
74,disappointment,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-12-01-01-18-02-03-01.wav
75,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-08-01-11-18-02-03-01.wav
76,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-08-02-16-18-02-03-01.wav
77,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-02-10-18-02-03-01.wav
78,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-08-01-10-18-02-03-01.wav
79,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-01-01-18-02-03-01.wav
80,disappointment,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-12-02-08-18-02-03-01.wav
81,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-08-02-01-18-02-03-01.wav
82,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-08-02-06-18-02-03-01.wav
83,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-01-06-18-02-03-01.wav
84,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-01-22-18-02-03-01.wav
85,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-12-18-02-03-01.wav
86,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-02-08-18-02-03-01-02.wav
87,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-02-17-18-02-03-01.wav
88,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-04-18-02-03-01.wav
89,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-08-02-09-18-02-03-01.wav
90,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-08-02-15-18-02-03-01.wav
91,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-04-01-02-18-02-03-01-02.wav
92,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-08-01-12-18-02-03-01.wav
93,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-04-02-05-18-02-03-01.wav
94,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-04-02-05-18-02-03-01-05.wav
95,disappointment,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-12-01-02-18-02-03-01.wav
96,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-04-01-02-18-02-03-01.wav
97,excited,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-09-02-07-18-02-03-01.wav
98,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-08-02-03-18-02-03-01.wav
99,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-10-18-02-03-01.wav
100,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-09-18-02-03-01.wav
101,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-01-04-18-02-03-01.wav
102,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-06-18-02-03-01.wav
103,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-04-01-01-18-02-03-01-02.wav
104,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-11-18-02-03-01.wav
105,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-08-18-02-03-01-03.wav
106,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-05-18-02-03-01-02.wav
107,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-07-18-02-03-01.wav
108,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-01-06-18-02-03-01-04.wav
109,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-01-13-18-02-03-01.wav
110,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-01-14-18-02-03-01.wav
111,sad,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-04-01-03-18-02-03-01.wav
112,disappointment,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-12-01-03-18-02-03-01.wav
113,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-05-02-06-18-02-03-01-02.wav
114,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-01-06-18-02-03-01-02.wav
115,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-08-01-05-18-02-03-01.wav
116,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-01-02-18-02-03-01.wav
117,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_18/03-01-02-01-06-18-02-03-01-03.wav
118,fearful,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-06-02-10-20-02-02-02-04.wav
119,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-34-20-02-03-01.wav
120,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-08-01-25-20-01-03-01.wav
121,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-12-20-01-03-01.wav
122,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-20-20-01-03-01.wav
123,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-41-20-02-03-01.wav
124,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-02-01-42-20-01-03-01-77.wav
125,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-02-01-17-20-02-02-02-04.wav
126,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-27-20-01-03-01.wav
127,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-15-20-01-03-01.wav
128,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-28-20-01-03-01.wav
129,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-48-20-02-07-01.wav
130,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-33-20-02-03-01.wav
131,excited,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-09-01-20-20-02-02-01.wav
132,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-02-01-10-20-02-02-01.wav
133,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-26-20-01-03-01.wav
134,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-14-20-01-03-01.wav
135,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-29-20-01-03-01.wav
136,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-11-20-02-02-02-04.wav
137,disappointment,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-12-01-30-20-02-02-02-04.wav
138,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-02-01-11-20-02-02-02-04.wav
139,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-32-20-02-03-01.wav
140,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-35-20-02-03-01.wav
141,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-12-20-02-02-02-04.wav
142,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-02-01-12-20-02-02-02-04.wav
143,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-21-20-01-03-01.wav
144,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-40-20-02-03-01.wav
145,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-19-20-01-03-01.wav
146,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-24-20-01-03-01.wav
147,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-13-20-02-02-02-04.wav
148,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-02-01-30-20-01-03-01.wav
149,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-16-20-01-03-01.wav
150,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-11-20-01-03-01.wav
151,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-37-20-02-03-01.wav
152,fearful,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-06-02-10-20-02-02-01-04.wav
153,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-08-20-01-03-01.wav
154,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-38-20-02-03-01.wav
155,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-10-20-02-02-02-04.wav
156,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-02-01-10-20-02-02-02-04.wav
157,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-42-20-02-03-01.wav
158,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-07-20-01-03-01.wav
159,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-23-20-01-03-01.wav
160,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-32-20-02-03-01-02.wav
161,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-10-20-01-03-01.wav
162,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-08-02-10-20-02-02-02-04.wav
163,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-09-20-01-03-01.wav
164,pleasure,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-10-01-09-20--02-03-01.wav
165,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-36-20-02-03-01.wav
166,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-02-01-41-20-02-03-01.wav
167,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-06-20-01-03-01.wav
168,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-39-20-02-03-01.wav
169,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-26-20-01-03-01-02.wav
170,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-18-20-01-03-01.wav
171,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-25-20-01-03-01.wav
172,disappointment,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-12-02-10-20-02-02-02-04.wav
173,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-31-20-02-03-01.wav
174,neutral,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-02-01-18-20-02-02-02-04.wav
175,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_20/03-01-05-02-17-20-01-03-01.wav
176,excited,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_74/03-01-09-01-03-74-02-02-04.wav
177,happy,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_74/03-01-03-01-04-74-02-02-04.wav
178,pain,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_74/03-01-11-01-02-74-02-02-04.wav
179,happy,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_74/03-01-03-01-03-74-02-02-04.wav
180,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_74/03-01-05-02-05-74-02-02-04.wav
181,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_74/03-01-05-01-02-74-02-02-04.wav
182,surprised,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_74/03-01-08-01-01-74-02-02-04.wav
183,happy,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_74/03-01-03-01-02-74-02-02-04.wav
184,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_74/03-01-05-02-04-74-02-02-04.wav
185,angry,/Users/stephen/Desktop/Speech_Commands/Data/ASVP-ESD_UPDATE/Audio/actor_74/03-01-05-02-03-74-02-02-04.wav
